alpha threshold K result fcmodel bits time
0.3 10 9 1 0 7230.31 11.3894
0.3 10 10 1 0 8150.28 10.846
0.4 4 4 1 0 2894.55 18.739
0.4 4 5 1 0 3856.12 16.418
0.4 4 6 1 0 4972.73 13.884
0.4 4 7 1 0 6161.14 12.452
0.4 4 8 1 0 7394.37 12.185
0.4 4 9 1 0 8587.91 10.7
0.4 4 10 1 0 9408.62 9.6524
0.4 5 4 1 0 3022.25 17.442
0.4 5 5 1 0 3819.14 15.182
0.4 5 6 1 0 4804.53 13.947
0.4 5 7 1 0 5999.43 12.135
0.4 5 8 1 0 7073.94 10.790
0.4 5 9 1 0 8295.14 9.9548
0.4 5 10 1 0 9185.79 9.3927
0.4 6 4 1 0 2989.09 17.876
0.4 6 5 1 0 3599.69 15.547
0.4 6 6 1 0 4443.74 13.739
0.4 6 7 1 0 5621.37 12.625
0.4 6 8 1 0 6760.92 11.168
0.4 6 9 1 0 8036.32 10.133
0.4 6 10 1 0 8920.39 9.8294
0.4 7 4 1 0 3001.23 17.938
0.4 7 5 1 0 3525.81 15.546
0.4 7 6 1 0 4437.58 13.751
0.4 7 7 1 0 5356.83 12.846
0.4 7 8 1 0 6464.35 11.647
0.4 7 9 1 0 7779.5 10.549
0.4 7 10 1 0 8655.06 9.9013
0.4 8 4 1 0 3157 17.996
0.4 8 5 1 0 3639.06 15.871
0.4 8 6 1 0 4461.93 14.37
0.4 8 7 1 0 5357.12 12.634
0.4 8 8 1 0 6273.38 11.682
0.4 8 9 1 0 7545.69 10.833
0.4 8 10 1 0 8462.44 10.147
0.4 9 4 1 0 3085.21 18.437
0.4 9 5 1 0 3594.29 16.889
0.4 9 6 1 0 4231.64 14.164
0.4 9 7 1 0 5091.64 12.938
0.4 9 8 1 0 6148.12 11.63
0.4 9 9 1 0 7278.09 10.824
0.4 9 10 1 0 8198.17 10.256
0.4 10 4 1 0 3133.4 18.444
0.4 10 5 1 0 3668.15 16.032
0.4 10 6 1 0 4281.52 14.618
0.4 10 7 1 0 4984.88 12.740
0.4 10 8 1 0 5925.42 11.634
0.4 10 9 1 0 7186.87 10.986
0.4 10 10 1 0 8109.8 10.3914
0.5 4 4 1 0 2924.58 19.1028
0.5 4 5 1 0 3821.52 16.0613
0.5 4 6 1 0 4986.38 13.0544
0.5 4 7 1 0 6159.1 11.5812
0.5 4 8 1 0 7386.58 10.4435
0.5 4 9 1 0 8592.23 9.68729
0.5 4 10 1 0 9415.99 9.16138
0.5 5 4 1 0 3001.81 17.4659
0.5 5 5 1 0 3808.9 15.3193
0.5 5 6 1 0 4768.01 13.7769
0.5 5 7 1 0 5972.4 12.5283
0.5 5 8 1 0 7058.9 11.3073
0.5 5 9 1 0 8288.19 10.3993
0.5 5 10 1 0 9180.91 9.83606
0.5 6 4 1 0 2935.43 19.4219
0.5 6 5 1 0 3560.49 16.2547
0.5 6 6 1 0 4404.31 14.8852
0.5 6 7 1 0 5595.23 13.3753
0.5 6 8 1 0 6727.16 14.1183
0.5 6 9 1 0 8020.58 10.8799
0.5 6 10 1 0 8899.82 10.4314
0.5 7 4 1 0 2958.99 21.5473
0.5 7 5 1 0 3482.7 17.1931
0.5 7 6 1 0 4380.11 16.4537
0.5 7 7 1 0 5319.46 14.7449
0.5 7 8 1 0 6445.51 12.0066
0.5 7 9 1 0 7755.57 11.3687
0.5 7 10 1 0 8627.71 10.0184
0.5 8 4 1 0 3089.86 19.9606
0.5 8 5 1 0 3585.06 16.5371
0.5 8 6 1 0 4409.99 14.9961
0.5 8 7 1 0 5324.1 12.9339
0.5 8 8 1 0 6230.11 12.3009
0.5 8 9 1 0 7523.05 11.0905
0.5 8 10 1 0 8435.24 10.5891
0.5 9 4 1 0 3031.52 19.4405
0.5 9 5 1 0 3527.82 16.7687
0.5 9 6 1 0 4188.1 15.7108
0.5 9 7 1 0 5055.48 13.2895
0.5 9 8 1 0 6104.69 12.0845
0.5 9 9 1 0 7250.8 11.6282
0.5 9 10 1 0 8170.2 11.1655
0.5 10 4 1 0 3058.08 20.2405
0.5 10 5 1 0 3629.71 16.9964
0.5 10 6 1 0 4206.11 14.6883
0.5 10 7 1 0 4941.59 13.9378
0.5 10 8 1 0 5877.99 13.6841
0.5 10 9 1 0 7153.87 11.5675
0.5 10 10 1 0 8078.96 10.8664
0.6 4 4 1 0 2877.04 18.4066
0.6 4 5 1 0 3801.75 16.0815
0.6 4 6 1 0 4972.86 13.306
0.6 4 7 1 0 6144.41 12.1908
0.6 4 8 1 0 7371.55 11.3551
0.6 4 9 1 0 8586.08 10.2086
0.6 4 10 1 0 9406.85 9.42006
0.6 5 4 1 0 2954.92 18.5664
0.6 5 5 1 0 3787.75 16.797
0.6 5 6 1 0 4749.31 14.6393
0.6 5 7 1 0 5952.56 12.2909
0.6 5 8 1 0 7036.62 10.6382
0.6 5 9 1 0 8284.78 9.83186
0.6 5 10 1 0 9167.24 9.28025
0.6 6 4 1 0 2897.3 17.591
0.6 6 5 1 0 3542.05 16.4872
0.6 6 6 1 0 4394.38 15.1015
0.6 6 7 1 0 5575.44 12.5667
0.6 6 8 1 0 6701.4 11.0244
0.6 6 9 1 0 8008.58 10.4316
0.6 6 10 1 0 8883.99 9.93889
0.6 7 4 1 0 2915.76 17.7251
0.6 7 5 1 0 3486.69 15.4863
0.6 7 6 1 0 4337.06 13.7414
0.6 7 7 1 0 5290.41 12.5269
0.6 7 8 1 0 6415.44 11.45
0.6 7 9 1 0 7736.94 10.3244
0.6 7 10 1 0 8626.06 9.62312
0.6 8 4 1 0 3036.54 17.9953
0.6 8 5 1 0 3542.66 15.8849
0.6 8 6 1 0 4382.26 13.8119
0.6 8 7 1 0 5324.13 12.5021
0.6 8 8 1 0 6196.06 11.5136
0.6 8 9 1 0 7525.13 10.7472
0.6 8 10 1 0 8413.79 9.92083
0.6 9 4 1 0 3017.84 17.9926
0.6 9 5 1 0 3529.33 15.7149
0.6 9 6 1 0 4151.02 13.948
0.6 9 7 1 0 5026.28 12.6137
0.6 9 8 1 0 6069.85 11.458
0.6 9 9 1 0 7255.57 10.6421
0.6 9 10 1 0 8147.85 10.0156
0.6 10 4 1 0 3008.42 18.202
0.6 10 5 1 0 3585.69 16.272
0.6 10 6 1 0 4187.65 14.0482
0.6 10 7 1 0 4886.09 12.6368
0.6 10 8 1 0 5839.55 11.5611
0.6 10 9 1 0 7127.39 10.6958
0.6 10 10 1 0 8054.16 19.7465
0.7 4 4 1 0 2855.97 18.0401
0.7 4 5 1 0 3774.15 14.9856
0.7 4 6 1 0 4962.91 12.8816
0.7 4 7 1 0 6133.65 11.423
0.7 4 8 1 0 7360.42 10.1283
0.7 4 9 1 0 8581.74 9.45883
0.7 4 10 1 0 9407.7 8.88905
0.7 5 4 1 0 2918.28 17.1796
0.7 5 5 1 0 3771.8 15.1739
0.7 5 6 1 0 4729.83 13.7185
0.7 5 7 1 0 5937.41 11.8195
0.7 5 8 1 0 7019.37 10.5883
0.7 5 9 1 0 8288.87 9.74164
0.7 5 10 1 0 9156.56 9.17464
0.7 6 4 1 0 2855.97 17.7612
0.7 6 5 1 0 3519.23 15.1763
0.7 6 6 1 0 4370.06 13.6631
0.7 6 7 1 0 5564.09 12.379
0.7 6 8 1 0 6680.97 11.3578
0.7 6 9 1 0 7999.06 10.1704
0.7 6 10 1 0 8871.34 9.30116
0.7 7 4 1 0 2880.82 17.7041
0.7 7 5 1 0 3497.47 15.4769
0.7 7 6 1 0 4273.05 13.8181
0.7 7 7 1 0 5266.95 12.34
0.7 7 8 1 0 6375.06 11.4415
0.7 7 9 1 0 7721.87 10.318
0.7 7 10 1 0 8608.46 9.56983
0.7 8 4 1 0 2987.98 18.0078
0.7 8 5 1 0 3508.11 15.6885
0.7 8 6 1 0 4336.91 13.826
0.7 8 7 1 0 5302.23 12.5133
0.7 8 8 1 0 6174.87 11.6266
0.7 8 9 1 0 7510.16 10.6824
0.7 8 10 1 0 8396.23 9.828
0.7 9 4 1 0 3008.64 18.1626
0.7 9 5 1 0 3469.12 15.8094
0.7 9 6 1 0 4127.82 13.923
0.7 9 7 1 0 5015.04 12.5382
0.7 9 8 1 0 6040.88 11.4789
0.7 9 9 1 0 7237.25 10.6816
0.7 9 10 1 0 8129.34 10.0103
0.7 10 4 1 0 3015.76 18.2927
0.7 10 5 1 0 3524.57 15.9392
0.7 10 6 1 0 4162.39 14.0881
0.7 10 7 1 0 4846.83 12.7651
0.7 10 8 1 0 5833.6 11.9735
0.7 10 9 1 0 7105.36 10.8486
0.7 10 10 1 0 8033.5 10.1795
0.8 4 4 1 0 2861.82 17.0674
0.8 4 5 1 0 3768.84 14.9842
0.8 4 6 1 0 4969.29 12.8066
0.8 4 7 1 0 6169.15 11.2474
0.8 4 8 1 0 7356.41 10.1429
0.8 4 9 1 0 8583.05 9.50152
0.8 4 10 1 0 9401.91 8.93723
0.8 5 4 1 0 2882.82 17.4303
0.8 5 5 1 0 3759.43 15.0821
0.8 5 6 1 0 4703.86 13.5612
0.8 5 7 1 0 5925.49 11.7946
0.8 5 8 1 0 7005.61 10.7865
0.8 5 9 1 0 8282.56 9.73342
0.8 5 10 1 0 9147.99 9.30867
0.8 6 4 1 0 2826.2 17.4039
0.8 6 5 1 0 3499.19 15.2372
0.8 6 6 1 0 4377.59 13.8245
0.8 6 7 1 0 5564.62 12.3766
0.8 6 8 1 0 6677.5 11.044
0.8 6 9 1 0 7991.27 9.9527
0.8 6 10 1 0 8860.93 9.43549
0.8 7 4 1 0 2845.74 17.9547
0.8 7 5 1 0 3473.97 15.5146
0.8 7 6 1 0 4246.31 13.7562
0.8 7 7 1 0 5247.47 12.6481
0.8 7 8 1 0 6354.07 11.5908
0.8 7 9 1 0 7709.34 10.4134
0.8 7 10 1 0 8593.85 9.6619
0.8 8 4 1 0 3002.71 17.8219
0.8 8 5 1 0 3516.82 15.5306
0.8 8 6 1 0 4331.59 13.9856
0.8 8 7 1 0 5303.59 12.4291
0.8 8 8 1 0 6164.73 11.6154
0.8 8 9 1 0 7497.6 10.7588
0.8 8 10 1 0 8401.19 9.79851
0.8 9 4 1 0 2969.94 18.1018
0.8 9 5 1 0 3438.91 15.6834
0.8 9 6 1 0 4097.04 13.9178
0.8 9 7 1 0 4993.76 12.5239
0.8 9 8 1 0 6029.41 11.5656
0.8 9 9 1 0 7221.68 10.8507
0.8 9 10 1 0 8113.62 10.0854
0.8 10 4 1 0 2976.83 18.0738
0.8 10 5 1 0 3490.4 15.9042
0.8 10 6 1 0 4129.69 14.1833
0.8 10 7 1 0 4806.3 12.8777
0.8 10 8 1 0 5805.63 11.7426
0.8 10 9 1 0 7086.57 10.7532
0.8 10 10 1 0 8015.87 10.0694
0.9 4 4 1 0 2891.79 17.1784
0.9 4 5 1 0 3817.31 14.9177
0.9 4 6 1 0 4979.47 12.8625
0.9 4 7 1 0 6173.27 11.3504
0.9 4 8 1 0 7380.76 10.4407
0.9 4 9 1 0 8587.41 9.43761
0.9 4 10 1 0 9401.86 9.09338
0.9 5 4 1 0 2865.27 17.316
0.9 5 5 1 0 3743.55 15.1363
0.9 5 6 1 0 4684.88 13.7407
0.9 5 7 1 0 5906.79 11.8692
0.9 5 8 1 0 6994.41 10.4756
0.9 5 9 1 0 8277.48 9.63351
0.9 5 10 1 0 9140.95 9.14994
0.9 6 4 1 0 2760.32 17.6281
0.9 6 5 1 0 3478.3 15.2926
0.9 6 6 1 0 4370.92 13.7247
0.9 6 7 1 0 5553.93 12.466
0.9 6 8 1 0 6663.41 11.1298
0.9 6 9 1 0 7984.78 10.0349
0.9 6 10 1 0 8872.01 9.37858
0.9 7 4 1 0 2854.09 17.5499
0.9 7 5 1 0 3453.95 15.5707
0.9 7 6 1 0 4209.99 13.8484
0.9 7 7 1 0 5216.87 12.349
0.9 7 8 1 0 6342.93 11.5105
0.9 7 9 1 0 7698.7 10.3819
0.9 7 10 1 0 8581.45 9.63196
0.9 8 4 1 0 2970.22 17.8985
0.9 8 5 1 0 3491.11 15.3887
0.9 8 6 1 0 4303.99 13.8757
0.9 8 7 1 0 5286.86 12.5841
0.9 8 8 1 0 6144.55 11.7021
0.9 8 9 1 0 7486.85 10.7897
0.9 8 10 1 0 8388.16 9.96542
0.9 9 4 1 0 2933.51 17.9645
0.9 9 5 1 0 3398.03 15.713
0.9 9 6 1 0 4070.5 14.0314
0.9 9 7 1 0 4975.21 12.5577
0.9 9 8 1 0 6017.36 11.4088
0.9 9 9 1 0 7208.19 10.7623
0.9 9 10 1 0 8100.01 9.9567
0.9 10 4 1 0 2942.22 18.321
0.9 10 5 1 0 3460.48 15.9334
0.9 10 6 1 0 4101 14.075
0.9 10 7 1 0 4793.55 12.6703
0.9 10 8 1 0 5781.18 11.6513
0.9 10 9 1 0 7070.23 10.741
0.9 10 10 1 0 8000.53 10.0566
1 4 4 1 0 2881.28 17.2038
1 4 5 1 0 3803.44 14.9685
1 4 6 1 0 4951.22 12.945
1 4 7 1 0 6166.3 11.3299
1 4 8 1 0 7375.58 10.2086
1 4 9 1 0 8585.69 9.49752
1 4 10 1 0 9398.15 8.98666
1 5 4 1 0 2849.82 17.3733
1 5 5 1 0 3735.4 15.198
1 5 6 1 0 4680.86 13.4805
1 5 7 1 0 5912.46 11.826
1 5 8 1 0 6991.77 11.1499
1 5 9 1 0 8273.33 9.79731
1 5 10 1 0 9135.07 9.17207
1 6 4 1 0 2745.48 17.4658
1 6 5 1 0 3460.54 15.292
1 6 6 1 0 4351.63 13.6654
1 6 7 1 0 5551.57 12.6291
1 6 8 1 0 6664.76 11.3284
1 6 9 1 0 7967.17 9.96473
1 6 10 1 0 8864.44 9.40666
1 7 4 1 0 2834 17.7202
1 7 5 1 0 3449.45 15.5236
1 7 6 1 0 4211.52 13.769
1 7 7 1 0 5239.34 12.4327
1 7 8 1 0 6327.59 11.3832
1 7 9 1 0 7709.45 10.4149
1 7 10 1 0 8570.78 9.53834
1 8 4 1 0 2941.69 18.4502
1 8 5 1 0 3468.79 15.629
1 8 6 1 0 4243.81 13.8393
1 8 7 1 0 5272.25 12.6581
1 8 8 1 0 6140.11 11.5424
1 8 9 1 0 7477.5 10.6479
1 8 10 1 0 8376.83 9.80035
1 9 4 1 0 2904.16 18.4153
1 9 5 1 0 3367.18 15.6959
1 9 6 1 0 4048.24 13.9031
1 9 7 1 0 4965.43 12.4813
1 9 8 1 0 5998.24 11.5125
1 9 9 1 0 7216.21 10.7435
1 9 10 1 0 8088.05 10.0926
1 10 4 1 0 2912.4 18.3692
1 10 5 1 0 3433.93 15.8145
1 10 6 1 0 4075.59 14.147
1 10 7 1 0 4786.42 12.6644
1 10 8 1 0 5759.5 11.5158
1 10 9 1 0 7055.82 10.7217
1 10 10 1 0 7987 10.2147

alpha threshold K result fcmodel bits time
0.1 4 4 1 1 6410.13 2.06393
0.1 4 5 1 1 7086.89 2.69659
0.1 4 6 1 1 7910.15 2.82868
0.1 4 7 1 1 8638.02 3.19714
0.1 4 8 1 1 9166.2 3.51844
0.1 4 9 0 1 9514.64 3.72566
0.1 4 10 0 1 9514.84 4.06848
0.2 4 4 1 1 6571.54 2.10698
0.2 4 5 1 1 7332.18 2.4593
0.2 4 6 1 1 8148.14 2.89615
0.2 4 7 1 1 8837.89 3.29799
0.2 4 8 1 1 9324.42 3.49109
0.2 4 9 0 1 9516.77 4.3832
0.2 4 10 0 1 9516.23 4.29823
0.3 4 4 1 1 6718.87 2.21593
0.3 4 5 1 1 7523.11 2.96715
0.3 4 6 1 1 8323.67 2.90735
0.3 4 7 1 1 8979.29 3.33962
0.3 4 8 1 1 9431.53 3.35687
0.3 4 9 0 1 9517.99 3.60123
0.3 4 10 0 1 9517.01 3.82948
0.4 4 4 1 1 6846.36 1.96363
0.4 4 5 1 1 7676.5 2.82804
0.4 4 6 1 1 8460.16 3.55495
0.4 4 7 1 1 9086.45 3.32003
0.4 4 8 1 1 9510.69 3.50714
0.4 4 9 0 1 9518.85 3.66616
0.4 4 10 0 1 9517.59 3.81039
0.5 4 4 1 1 6957.62 2.00345
0.5 4 5 1 1 7804.01 2.30049
0.5 4 6 1 1 8570.92 2.72869
0.5 4 7 1 1 9171.75 3.39463
0.5 4 8 0 1 9520.85 3.96811
0.5 4 9 0 1 9519.44 4.17692
0.5 4 10 0 1 9517.97 4.4042
0.6 4 4 1 1 7055.95 2.17294
0.6 4 5 1 1 7912.65 2.30715
0.6 4 6 1 1 8663.51 2.79898
0.6 4 7 1 1 9241.98 3.12899
0.6 4 8 0 1 9521.46 3.76382
0.6 4 9 0 1 9519.91 3.91659
